FGM,FGP,FGN,GCO,FGG,NOD,FSN,FNN,CGB,FIN,DGR,CGR,NSD,DPQ,DCN,DOR,DIN,CPS,NPA,BAT,FGC,GBC,IBC,CCN,DNN,FGT,DGP,TCL,TPL,TSL,TAD,TSP,TDL,HMP,AST,FFS,FSP,ADI,ADR,AER,ARR,NPP,NOC,NOO,NM1,NM2,NOA,GCN,GFN,GAL,GUN,GFS,GFR,GFO,GPR,EZ1,EZ2,EZ3,DMP,DMG,HGI,GSI,GST,GEI,NGO,NOE,AFM,ACM,DOA,ACP,NCL,APO,AGE,PDC,ACL,TDD,EM1,PGO,AGS,DPN,NTD,OKP,FVP
Wel,+,+,+,0,+,-,+,+,-,0,+,-,-,-,-,-,-,?,0,0,-,0,0,0,0,-,0,0,-,0,+,-,0,-,+,+,-,-,+,0,-,-,-,-,+,0,0,-,0,-,-,-,+,+,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,-,-,0,+,0,?,-,0,0,-,0,?,0
Ma,+,+,+,0,+,-,+,+,+,-,-,0,0,0,0,0,-,+,+,-,-,0,0,-,0,-,-,0,+,+,0,0,-,-,+,+,+,0,-,+,+,-,-,-,-,-,-,-,0,-,-,-,+,-,0,-,-,+,0,0,0,-,0,0,0,+,0,0,0,0,-,-,0,0,-,?,0,-,0,0,0,?,0
Hi,+,+,+,0,+,-,+,+,+,-,-,0,0,0,0,0,-,+,+,-,-,0,0,-,0,-,-,0,+,+,0,0,-,-,+,+,+,0,-,+,+,-,-,-,-,-,-,-,0,-,-,-,+,-,0,-,-,+,0,0,0,-,0,0,0,+,0,0,0,0,-,-,0,0,-,?,0,-,0,0,0,?,0
Far,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,0,0,+,0,-,-,0,+,+,0,0,-,-,+,-,-,0,+,0,-,-,-,+,0,0,0,-,0,-,-,-,-,+,+,-,+,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,0,0,-,?,0,0,0,0,0,0,0
Pas,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,-,0,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,-,-,0,-,+,-,-,-,-,-,-,-,-,0,-,-,-,+,-,0,-,-,?,0,0,0,-,0,0,0,+,0,0,0,0,-,-,0,0,-,?,0,-,0,0,0,0,0
Man,-,0,0,-,0,0,0,0,+,-,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,-,-,0,+,+,0,0,-,-,+,0,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,+,-,-,0,+,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,-,?,0,-,0,0,0,0,0
Can,-,0,0,-,0,0,0,0,+,-,0,0,0,0,0,0,0,0,0,0,+,+,-,0,0,-,-,0,+,+,0,0,-,-,+,0,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,+,-,-,0,+,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,-,?,0,-,0,0,0,0,0
Inu,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,+,-,0,-,0,0,0,0,-,-,0,+,-,-,0,-,-,-,0,+,0,-,+,0,0,-,-,0,0,0,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,+,0,+,0,0,0,0,-,0,0,0,0,?,0,-,0,0,0,0,0
Jap,+,-,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,-,-,0,+,-,+,0,-,-,-,0,0,0,-,-,0,0,-,-,0,0,0,-,0,-,-,-,+,-,0,-,+,0,0,0,0,-,0,0,0,+,0,0,0,0,-,-,0,0,0,?,0,-,0,0,0,0,0
Kor,+,-,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,-,-,0,+,+,0,0,-,-,-,0,0,0,-,-,0,0,-,-,0,0,0,-,0,-,-,+,-,+,0,-,+,0,0,0,0,-,0,0,-,+,0,0,0,0,-,-,0,0,0,+,0,0,0,0,0,0,0
Ar,+,+,+,0,+,-,+,+,-,0,+,-,+,-,+,+,+,+,0,0,-,0,0,0,0,-,0,0,+,-,+,-,-,-,+,+,+,0,+,0,+,+,+,0,0,0,0,+,-,-,-,0,+,+,+,-,-,-,-,0,-,-,0,0,0,0,0,0,+,0,-,-,0,-,-,?,0,0,0,-,0,?,+
Heb,+,+,+,0,+,-,+,+,-,0,+,-,+,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,-,0,+,+,0,-,+,+,+,0,+,0,-,+,+,0,0,0,0,+,-,+,-,0,+,+,+,-,-,-,-,0,-,-,0,0,0,0,0,0,+,0,-,-,0,-,-,?,0,0,0,-,0,?,-
